#,Company,Symbol,Portfolio%,Price,Chg,% Chg
360,"Textron, Inc.",TXT,0.04%,96.65,1.15,(1.20%)
361,Regions Financial Corp.,RF,0.04%,20.15,0.09,(0.45%)
362,"Principal Financial Group, Inc.",PFG,0.04%,84.51,-0.09,(-0.11%)
363,Omnicom Group Inc.,OMC,0.04%,92.62,-0.52,(-0.56%)
364,"First Solar, Inc.",FSLR,0.04%,174.60,3.14,(1.83%)
365,Clorox Company,CLX,0.04%,145.94,-0.61,(-0.42%)
366,Hologic Inc,HOLX,0.04%,77.98,0.70,(0.91%)
367,Northern Trust Corp,NTRS,0.04%,86.78,0.21,(0.24%)
368,Laboratory Corporation of America Holdings,LH,0.04%,211.26,0.05,(0.02%)
369,Idex Corporation,IEX,0.04%,239.38,2.59,(1.09%)
370,"Centerpoint Energy, Inc.",CNP,0.04%,28.05,-0.05,(-0.18%)
371,W.R. Berkley Corporation,WRB,0.04%,87.26,0.65,(0.75%)
372,"Leidos Holdings, Inc.",LDOS,0.04%,128.66,-0.05,(-0.04%)
373,Seagate Technology Holdings Plcs,STX,0.04%,89.99,-0.77,(-0.85%)
374,Avery Dennison Corp.,AVY,0.04%,218.11,0.97,(0.45%)
375,"Expedia Group, Inc.",EXPE,0.04%,131.79,01.09,(0.83%)
376,Jabil Inc.,JBL,0.04%,140.47,4.59,(3.38%)
377,Cms Energy Corporation,CMS,0.04%,58.65,-0.62,(-1.05%)
378,"Tyler Technologies, Inc.",TYL,0.04%,415.18,0.41,(0.10%)
379,Atmos Energy Corporation,ATO,0.04%,116.23,0.10,(0.09%)
380,Marathon Oil Corporation,MRO,0.04%,29.69,0.21,(0.71%)
381,Masco Corporation,MAS,0.04%,76.90,0.32,(0.42%)
382,"Ventas, Inc.",VTR,0.04%,43.09,0.43,(1.01%)
383,Synchrony Financial,SYF,0.04%,41.28,0.09,(0.22%)
384,"Tyson Foods, Inc.",TSN,0.04%,59.05,-0.43,(-0.72%)
385,"Expeditors International of Washington, Inc.",EXPD,0.04%,117.35,1.20,(1.03%)
386,Domino's Pizza Inc.,DPZ,0.04%,493.20,10.34,(2.14%)
387,Packaging Corp of America,PKG,0.04%,187.67,0.01,(0.01%)
388,Skyworks Solutions Inc,SWKS,0.04%,105.48,0.74,(0.71%)
389,Southwest Airlines Co.,LUV,0.04%,28.34,0.37,(1.32%)
390,Verisign Inc,VRSN,0.04%,187.82,0.79,(0.42%)
391,"Enphase Energy, Inc.",ENPH,0.04%,112.27,-8.51,(-7.05%)
392,Factset Research Systems,FDS,0.04%,433.17,-0.12,(-0.03%)
393,"Cf Industries Holding, Inc.",CF,0.04%,85.11,-1.07,(-1.24%)
394,"Everest Group, Ltd.",EG,0.04%,379.86,0.40,(0.11%)
395,Celanese Corporation,CE,0.04%,162.62,-0.69,(-0.42%)
396,"Teradyne, Inc.",TER,0.04%,107.27,1.32,(1.25%)
397,Akamai Technologies Inc,AKAM,0.04%,106.24,0.25,(0.24%)
398,"Nrg Energy, Inc.",NRG,0.04%,72.77,02.07,(2.93%)
399,"Citizens Financial Group, Inc.",CFG,0.04%,33.98,-0.12,(-0.35%)
400,Jb Hunt Transport Services Inc,JBHT,0.04%,195.33,0.81,(0.42%)
401,Snap-on Incorporated,SNA,0.04%,292.76,-0.45,(-0.15%)
402,Bunge Global Sa,BG,0.04%,106.86,1.38,(1.31%)
403,"Best Buy Company, Inc.",BBY,0.04%,79.61,0.61,(0.77%)
404,Trimble Inc.,TRMB,0.04%,61.45,-0.04,(-0.07%)
405,Pool Corporation,POOL,0.04%,396.25,01.07,(0.27%)
406,"Epam Systems, Inc.",EPAM,0.04%,264.36,-1.50,(-0.56%)
407,Kellanova,K,0.04%,57.45,-0.13,(-0.23%)
408,"Essex Property Trust, Inc",ESS,0.04%,237.68,1.70,(0.72%)
409,Carnival Corporation,CCL,0.04%,15.12,0.06,(0.40%)
410,Eqt Corp,EQT,0.03%,36.48,-0.28,(-0.76%)
411,Zebra Technologies Corporation,ZBRA,0.03%,290.38,-2.58,(-0.88%)
412,"Mid-America Apartment Communities, Inc.",MAA,0.03%,127.10,0.27,(0.21%)
413,"Stanley Black & Decker, Inc.",SWK,0.03%,95.41,0.47,(0.50%)
414,Nordson Corp,NDSN,0.03%,271.13,0.33,(0.12%)
415,Quest Diagnostics Inc.,DGX,0.03%,130.63,-0.87,(-0.66%)
416,"Conagra Brands, Inc.",CAG,0.03%,31.09,0.45,(1.47%)
417,Live Nation Entertainment Inc.,LYV,0.03%,103.52,1.11,(1.08%)
418,Albemarle Corporation,ALB,0.03%,123.45,2.33,(1.92%)
419,"United Airlines Holdings, Inc.",UAL,0.03%,43.19,-0.03,(-0.07%)
420,"Host Hotels & Resorts, Inc.",HST,0.03%,20.28,0.20,(1.00%)
421,Keycorp,KEY,0.03%,15.06,-0.02,(-0.13%)
422,Viatris Inc.,VTRS,0.03%,11.80,0.04,(0.34%)
423,Loews Corporation,L,0.03%,76.66,0.30,(0.39%)
424,Lkq Corporation,LKQ,0.03%,51.47,0.35,(0.68%)
425,"Walgreens Boots Alliance, Inc",WBA,0.03%,19.13,0.15,(0.79%)
426,International Paper Co.,IP,0.03%,38.66,-0.63,(-1.60%)
427,Pentair Plc,PNR,0.03%,83.57,0.77,(0.93%)
428,Amcor Plcs,AMCR,0.03%,9.21,0.04,(0.44%)
429,"Healthpeak Properties, Inc.",DOC,0.03%,18.63,0.30,(1.64%)
430,"Charles River Laboratories International, Inc.",CRL,0.03%,253.10,2.44,(0.97%)
431,Carmax Inc.,KMX,0.03%,81.49,0.82,(1.02%)
432,"Revvity, Inc.",RVTY,0.03%,102.28,0.60,(0.59%)
433,Mgm Resorts International,MGM,0.03%,46.53,0.67,(1.46%)
434,Molson Coors Beverage Company Class B,TAP,0.03%,67.35,-0.03,(-0.04%)
435,"Rollins, Inc.",ROL,0.03%,45.37,0.80,(1.79%)
436,Gen Digital Inc.,GEN,0.03%,22.15,0.12,(0.54%)
437,Westrock Company,WRK,0.03%,48.90,0.06,(0.12%)
438,Kimco Realty Corp.,KIM,0.03%,18.51,-0.09,(-0.48%)
439,Alliant Energy Corporation,LNT,0.03%,48.85,-0.28,(-0.57%)
440,Henry (Jack) & Associates,JKHY,0.03%,170.03,0.62,(0.37%)
441,"The Interpublic Group of Companies, Inc.",IPG,0.03%,31.46,-0.45,(-1.41%)
442,The J.M. Smucker Company,SJM,0.03%,117.22,-1.57,(-1.32%)
443,Aes Corporation,AES,0.03%,18.08,-0.06,(-0.33%)
444,"Evergy, Inc.",EVRG,0.03%,52.20,-0.48,(-0.91%)
445,Eastman Chemical Company,EMN,0.03%,99.83,0.16,(0.16%)
446,Juniper Networks Inc,JNPR,0.03%,37.07,0.10,(0.27%)
447,"Lamb Weston Holdings, Inc.",LW,0.03%,79.78,-1.75,(-2.15%)
448,Allegion Public Limited Company,ALLE,0.03%,132.31,1.29,(0.98%)
449,Insulet Corporation,PODD,0.03%,165.00,1.75,(1.07%)
450,"Huntington Ingalls Industries, Inc.",HII,0.03%,286.08,-0.13,(-0.05%)
451,"F5, Inc.",FFIV,0.03%,192.42,3.94,(2.09%)
452,"Udr, Inc.",UDR,0.03%,36.51,0.12,(0.33%)
453,"Qorvo, Inc.",QRVO,0.03%,115.09,02.09,(1.85%)
454,Nisource Inc.,NI,0.03%,27.19,0.02,(0.07%)
455,Apa Corporation,APA,0.03%,35.74,0.31,(0.87%)
456,The Mosaic Company,MOS,0.02%,32.95,0.17,(0.52%)
457,A.O. Smith Corporation,AOS,0.02%,87.54,0.40,(0.46%)
458,Bio-Techne Corp.,TECH,0.02%,66.99,-0.06,(-0.09%)
459,"Universal Health Services, Inc. Class B",UHS,0.02%,173.43,01.09,(0.63%)
460,"Catalent, Inc.",CTLT,0.02%,56.75,-0.21,(-0.37%)
461,"Bath & Body Works, Inc.",BBWI,0.02%,45.49,0.32,(0.71%)
462,Camden Property Trust,CPT,0.02%,96.62,0.75,(0.78%)
463,Incyte Genomics Inc,INCY,0.02%,55.24,0.25,(0.45%)
464,Wynn Resorts Ltd,WYNN,0.02%,107.46,1.34,(1.26%)
465,Hormel Foods Corporation,HRL,0.02%,34.70,-0.47,(-1.34%)
466,Teleflex Incorporated,TFX,0.02%,216.77,4.88,(2.30%)
467,"Tapestry, Inc.",TPR,0.02%,42.93,-0.10,(-0.23%)
468,"Dayforce, Inc.",DAY,0.02%,61.04,-3.17,(-4.94%)
469,News Corporation Class A,NWSA,0.02%,25.66,0.11,(0.43%)
470,Regency Centers Corporation,REG,0.02%,58.80,-0.30,(-0.51%)
471,"Paycom Software, Inc.",PAYC,0.02%,198.29,0.54,(0.27%)
472,Henry Schein Inc,HSIC,0.02%,72.52,-0.37,(-0.51%)
473,Globe Life Inc.,GL,0.02%,108.45,-1.66,(-1.51%)
474,"Assurant, Inc.",AIZ,0.02%,179.85,0.51,(0.28%)
475,Brown-Forman Corporation Class B,BF.B,0.02%,50.98,-0.44,(-0.86%)
476,Solventum Corporation,SOLV,0.02%,70.06,03.06,(4.57%)
477,"Match Group, Inc",MTCH,0.02%,33.71,-0.01,(-0.03%)
478,American Airlines Group Inc.,AAL,0.02%,13.76,-0.07,(-0.51%)
479,"Caesars Entertainment, Inc.",CZR,0.02%,42.91,0.58,(1.37%)
480,Campbell Soup Company,CPB,0.02%,43.30,-0.69,(-1.57%)
481,"Boston Properties, Inc.",BXP,0.02%,61.35,-0.07,(-0.11%)
482,Marketaxess Holdings Inc.,MKTX,0.02%,225.39,0.60,(0.27%)
483,"C.H. Robinson Worldwide, Inc.",CHRW,0.02%,71.18,-0.50,(-0.70%)
484,Pinnacle West Capital Corporation,PNW,0.02%,72.76,-0.26,(-0.36%)
485,Borgwarner Inc.,BWA,0.02%,34.61,0.18,(0.52%)
486,Generac Holdings Inc,GNRC,0.02%,134.41,03.07,(2.34%)
487,Robert Half Inc.,RHI,0.02%,75.30,-0.11,(-0.15%)
488,"Etsy, Inc.",ETSY,0.02%,64.98,-0.58,(-0.88%)
489,Norwegian Cruise Line Holdings Ltd.s,NCLH,0.02%,18.89,0.06,(0.32%)
490,"Franklin Resources, Inc.",BEN,0.02%,27.05,-0.15,(-0.55%)
491,Fox Corporation Class A,FOXA,0.02%,31.02,-0.12,(-0.39%)
492,Invesco Ltd,IVZ,0.02%,16.65,0.12,(0.73%)
493,Fmc Corporation,FMC,0.02%,58.74,-0.47,(-0.79%)
494,Federal Realty Investment Trust,FRT,0.02%,99.69,0.34,(0.34%)
495,Davita Inc.,DVA,0.02%,133.61,0.66,(0.50%)
496,"Hasbro, Inc.",HAS,0.02%,56.42,0.57,(1.02%)
497,Comerica Incorporated,CMA,0.02%,52.64,-0.12,(-0.23%)
498,Ralph Lauren Corporation,RL,0.02%,171.95,0.81,(0.47%)
499,"Bio-Rad Laboratories, Inc.Class A",BIO,0.02%,324.59,1.76,(0.55%)
500,"Mohawk Industries, Inc.",MHK,0.01%,122.36,0.25,(0.20%)
501,Paramount Global Class B,PARA,0.01%,11.97,-0.40,(-3.23%)
502,Fox Corporation Class B,FOX,0.01%,28.45,0.03,(0.11%)
503,News Corporation Class B,NWS,0.01%,26.46,0.08,(0.30%)
