#,Company,Symbol,Portfolio%,Price,Chg,% Chg
86,Boeing Company,BA,0.24%,183.14,-0.15,(-0.08%)
87,Bristol-Myers Squibb Co.,BMY,0.24%,51.32,-0.08,(-0.16%)
88,Vertex Pharmaceuticals Inc,VRTX,0.24%,406.67,2.66,(0.66%)
89,Chubb Limited,CB,0.24%,252.90,0.67,(0.27%)
90,Automatic Data Processing,ADP,0.23%,244.85,3.36,(1.39%)
91,Starbucks Corp,SBUX,0.23%,86.85,-0.77,(-0.88%)
92,Boston Scientific Corp.,BSX,0.23%,68.56,0.81,(1.20%)
93,Regeneron Pharmaceuticals Inc,REGN,0.23%,942.70,5.68,(0.61%)
94,"Marsh & Mclennan Companies, Inc.",MMC,0.23%,205.58,4.83,(2.41%)
95,Lockheed Martin Corp.,LMT,0.23%,455.38,1.34,(0.30%)
96,"Analog Devices, Inc.",ADI,0.22%,194.76,2.81,(1.46%)
97,Cvs Health Corporation,CVS,0.22%,74.58,0.68,(0.92%)
98,"Fiserv, Inc.",FI,0.22%,157.38,2.47,(1.59%)
99,"Mondelez International, Inc. Class A",MDLZ,0.21%,67.99,-0.22,(-0.32%)
100,Kla Corporation,KLAC,0.21%,682.84,10.09,(1.50%)
101,Blackstone Inc.,BX,0.21%,127.58,1.57,(1.25%)
102,American Tower Corporation,AMT,0.21%,190.17,-0.13,(-0.07%)
103,Gilead Sciences Inc,GILD,0.20%,69.58,0.03,(0.04%)
104,Synopsys Inc,SNPS,0.20%,575.45,8.34,(1.47%)
105,"T-Mobile Us, Inc.",TMUS,0.20%,161.11,-0.50,(-0.31%)
106,"Palo Alto Networks, Inc.",PANW,0.19%,269.01,3.81,(1.44%)
107,Cadence Design Systems,CDNS,0.19%,308.02,1.54,(0.50%)
108,Marathon Petroleum Corporation,MPC,0.18%,219.13,2.88,(1.33%)
109,Target Corporation,TGT,0.18%,171.77,-0.45,(-0.26%)
110,"Chipotle Mexican Grill, Inc.",CMG,0.18%,"2,905.42",49.39,(1.73%)
111,Intercontinental Exchange Inc.,ICE,0.18%,137.87,1.17,(0.86%)
112,"Eog Resources, Inc.",EOG,0.18%,135.94,1.91,(1.43%)
113,The Sherwin-Williams Company,SHW,0.18%,331.85,1.99,(0.60%)
114,Schlumberger Limited,SLB,0.18%,55.03,0.76,(1.40%)
115,Cme Group Inc.,CME,0.18%,211.08,-1.13,(-0.53%)
116,The Southern Company,SO,0.18%,69.91,-0.14,(-0.20%)
117,Zoetis Inc.,ZTS,0.18%,165.86,0.34,(0.21%)
118,"Waste Management, Inc.",WM,0.18%,206.93,-0.16,(-0.08%)
119,Duke Energy Corporation,DUK,0.17%,95.91,-0.21,(-0.22%)
120,"Altria Group, Inc.",MO,0.17%,41.65,0.12,(0.29%)
121,Phillips 66,PSX,0.17%,170.75,0.07,(0.04%)
122,"Equinix, Inc. Reit",EQIX,0.17%,784.41,3.37,(0.43%)
123,Arista Networks,ANET,0.17%,297.60,8.83,(3.06%)
124,Colgate-Palmolive Company,CL,0.17%,87.88,0.48,(0.55%)
125,Illinois Tool Works Inc.,ITW,0.17%,262.94,1.16,(0.44%)
126,Parker-Hannifin Corporation,PH,0.17%,566.67,11.02,(1.98%)
127,Csx Corporation,CSX,0.17%,36.30,0.18,(0.50%)
128,Freeport-Mcmoran Inc.,FCX,0.16%,49.47,0.29,(0.59%)
129,"Becton, Dickinson and Co.",BDX,0.16%,246.17,3.12,(1.28%)
130,Mckesson Corporation,MCK,0.16%,538.75,3.96,(0.74%)
131,"Paypal Holdings, Inc.",PYPL,0.16%,65.15,0.61,(0.95%)
132,"Airbnb, Inc. Class A",ABNB,0.16%,161.77,2.93,(1.84%)
133,Amphenol Corporation,APH,0.16%,117.38,2.28,(1.98%)
134,Trane Technologies Plc,TT,0.16%,304.67,7.16,(2.41%)
135,U.S. Bancorp,USB,0.15%,43.03,0.11,(0.26%)
136,Transdigm Group Incorporated,TDG,0.15%,"1,235.28",30.92,(2.57%)
137,General Dynamics Corporation,GD,0.15%,295.18,1.96,(0.67%)
138,Northrop Grumman Corp.,NOC,0.15%,454.50,-4.98,(-1.08%)
139,"O'reilly Automotive, Inc.",ORLY,0.15%,"1,117.56",17.93,(1.63%)
140,Emerson Electric Co.,EMR,0.15%,114.54,1.50,(1.33%)
141,"Hca Healthcare, Inc.",HCA,0.15%,328.80,3.63,(1.12%)
142,Fedex Corporation,FDX,0.15%,273.52,-1.99,(-0.72%)
143,Paccar Inc,PCAR,0.15%,122.21,1.68,(1.39%)
144,Aon Plc Class A,AON,0.15%,318.99,4.22,(1.34%)
145,Pioneer Natural Resource Co.,PXD,0.15%,272.78,2.94,(1.09%)
146,Pnc Financial Services Group,PNC,0.14%,157.37,0.49,(0.31%)
147,Nxp Semiconductors N.v.,NXPI,0.14%,241.01,1.84,(0.77%)
148,Moody's Corporation,MCO,0.14%,392.47,0.90,(0.23%)
149,Valero Energy Corporation,VLO,0.14%,183.39,2.78,(1.54%)
150,Marriot International Class A,MAR,0.14%,253.93,05.04,(2.02%)
151,Constellation Energy Corporation,CEG,0.14%,193.08,9.97,(5.44%)
152,"Motorola Solutions, Inc.",MSI,0.13%,352.30,4.37,(1.26%)
153,Cintas Corp,CTAS,0.13%,673.69,9.18,(1.38%)
